num,velocity,waist,knee,right_angle,left_angle,time,peak_time,rest,fatigue,rest_time,rectus_femoris,vastus_lateralis,vastus_medialis,biceps_femoris,lac,RM,,,,,,,,
26,-0.0852,25.963,9.213,-0.014264176,0.017911249,1.86,1.69,1,1,1.207,0.0013,-1.0365,-0.37,-0.7693,3.5,0.7,,,,,,9,17.9536,-59.0985
27,-0.1092,-121.385,-27.306,-0.020449802,-0.006834613,1.63,1.71,1,2,2.122,-0.6864,-1.3061,0.2741,-0.1472,5.2,0.7,,,,,,9,-66.5999,-34.5634
28,-0.2269,50.109,16.203,,,,1.71,,,1.256,,,,,0.9,0.7,,,,,,,,
29,-0.1945,96.804,50.525,,,,1.79,,,1.444,,,,,1.9,0.7,,,,,,,,
30,-0.334,29.56,10.035,,,,2.21,,,2.033,,,,,2.8,0.7,,,,,,,,
31,0.0091,-108.19,11.773,,,,1.45,,,1.795,,,,,3.2,0.8,,,,,,,,
32,0.3195,-82.736,7.329,,,,1.57,,,2.286,,,,,4.4,0.8,,,,,,,,
33,-0.0244,79.747,-5.232,,,,1.43,,,2.297,,,,,5.5,0.8,,,,,,,,
34,-1.1602,-118.684,53.052,,,,1.24,,,1.529,,,,,1.3,0.8,,,,,,,,
35,-0.4218,60.274,47.793,,,,1.09,,,1.317,,,,,1.5,0.8,,,,,,,,
36,-1.2706,58.199,53.451,,,,1.31,,,1.328,,,,,2,0.8,,,,,,,,
37,-0.0465,26.431,-10.575,,,,1.72,,,1.71,,,,,1.2,0.8,,,,,,,,
38,0.05,5.727,8.585,,,,1.08,,,1.696,,,,,2.8,0.8,,,,,,,,
39,-0.2431,147.439,-37.681,,,,1.67,,,1.704,,,,,3.9,0.8,,,,,,,,
40,0.2054,-113.017,-31.136,,,,1.67,,,0.663,,,,,6.9,0.8,,,,,,,,
41,0.4685,-210.395,-52.017,,,,1.57,,,0.614,,,,,9.8,0.8,,,,,,,,
42,-0.3629,-205.095,40.295,,,,1.75,,,0.658,,,,,10.5,0.8,,,,,,,,
43,0.2143,-18.762,-7.815,,,,1.74,,,1.069,,,,,3.2,0.8,,,,,,,,
44,-0.0532,-77.662,-29.574,,,,1.59,,,1.03,,,,,4.7,0.8,,,,,,,,
45,0.3417,-50.301,-12.186,,,,1.73,,,0.942,,,,,3.7,0.8,,,,,,,,
46,-0.424,-28.137,2.365,,,,1.75,,,0.535,,,,,4.2,0.8,,,,,,,,
47,-0.0178,-94.217,-32.485,,,,1.71,,,0.656,,,,,5.6,0.8,,,,,,,,
48,-0.2722,-71.355,-30.856,,,,1.75,,,0.779,,,,,9.2,0.8,,,,,,,,
49,-0.2498,-46.746,-7.592,,,,1.18,,,1.086,,,,,8.7,0.8,,,,,,,,
50,-0.5233,-136.699,-54.081,,,,1.25,,,1.344,,,,,11.1,0.8,,,,,,,,
51,-0.4788,-100.669,-62.8,,,,1.25,,,1.567,,,,,14.9,0.8,,,,,,,,
52,-0.4737,20.348,9.454,,,,1.23,,,1.333,,,,,5.7,0.8,,,,,,,,
53,-0.3172,35.729,16.173,,,,1.08,,,1.417,,,,,7,0.8,,,,,,,,
54,-0.6631,-43.637,-34.351,,,,1.23,,,1.206,,,,,9.5,0.8,,,,,,,,
55,-0.9332,-23.431,-45.662,,,,1.88,,,0.633,,,,,3.4,0.8,,,,,,,,
56,-0.8081,-63.148,-48.913,,,,0.96,,,0.85,,,,,6.5,0.8,,,,,,,,
57,-0.744,-54.232,-54.948,,,,1.13,,,1.7,,,,,8.6,0.8,,,,,,,,
58,0.1236,-25.396,-2.016,,,,1.21,,,0.614,,,,,4.1,0.8,,,,,,,,
59,-0.271,-0.498,27.508,,,,1.37,,,0.621,,,,,6.1,0.8,,,,,,,,
60,0.1182,56.864,4.464,,,,1.45,,,0.556,,,,,5.2,0.8,,,,,,,,
61,-0.74,39.789,18.795,,,,1.16,,,0.627,,,,,3.5,0.8,,,,,,,,
62,-0.5614,-5.329,-7.401,,,,1.5,,,0.479,,,,,3.4,0.8,,,,,,,,
63,-0.6175,-5.234,-1.062,,,,1.46,,,0.633,,,,,5.4,0.8,,,,,,,,
64,1.6051,72.523,-98.067,,,,0.72,,,2.039,,,,,0.9,0.8,,,,,,,,
65,-0.1227,57.733,33.416,,,,1.03,,,1.633,,,,,1.3,0.8,,,,,,,,
66,-0.008,-19.574,0.921,,,,1.09,,,2.258,,,,,1.5,0.8,,,,,,,,
67,-0.193,233.76,35.101,,,,1.34,,,0.997,,,,,7.7,0.8,,,,,,,,
68,0.0419,168.555,-2.575,,,,1.51,,,0.853,,,,,7.1,0.8,,,,,,,,
69,-0.1617,147.589,-52.964,,,,1.26,,,0.788,,,,,6.2,0.8,,,,,,,,
70,-0.2721,-342.695,-17.303,,,,1.2,,,1.6,,,,,2.6,0.8,,,,,,,,
71,-0.3524,-437.157,-133.359,,,,1.24,,,1.42,,,,,3.9,0.8,,,,,,,,
72,0.6408,-65.829,112.044,,,,1.28,,,1.513,,,,,4.2,0.8,,,,,,,,
73,0.2136,-121.225,-4.498,,,,1.06,,,0.69,,,,,3.4,0.8,,,,,,,,
74,-0.3812,-76.051,27.577,,,,1.28,,,0.558,,,,,5.1,0.8,,,,,,,,
75,-0.2572,-82.77,9.187,,,,1.3,,,0.8,,,,,4,0.8,,,,,,,,
76,-0.2884,-134.206,-17.821,,,,1.62,,,1.488,,,,,2.2,0.8,,,,,,,,
77,-0.2512,5.103,26.649,,,,1.97,,,1.325,,,,,3.5,0.8,,,,,,,,
78,-0.3646,359.834,49.124,,,,1.35,,,1.277,,,,,3.4,0.8,,,,,,,,
79,0.4974,-29.685,11.487,,,,1.16,,,1.817,,,,,0.6,0.8,,,,,,,,
80,0.0454,113.541,13.834,,,,1.1,,,1.583,,,,,0.6,0.8,,,,,,,,
81,0.471,72.295,37.152,,,,1.01,,,1.267,,,,,0.5,0.8,,,,,,,,
82,-0.6955,30.48,32.653,,,,1.57,,,1.175,,,,,0.2,0.8,,,,,,,,
83,-0.2768,-11.502,22.288,,,,1.55,,,1.333,,,,,0.2,0.8,,,,,,,,
84,0.1978,-21.661,14.547,,,,1.11,,,0.867,,,,,0.1,0.8,,,,,,,,
85,-1.4622,-44.961,-16.998,,,,1.37,,,1.217,,,,,3.6,0.8,,,,,,,,
86,-0.7225,-188.252,-46.614,,,,1.28,,,1.095,,,,,5.6,0.8,,,,,,,,
87,-1.1581,-80.205,-51.795,,,,1.08,,,1.732,,,,,6.5,0.8,,,,,,,,
88,0.4939,1.248,-4.208,,,,1.21,,,1.204,,,,,1.8,0.8,,,,,,,,
89,0.483,-310.928,-22.015,,,,1.44,,,1.279,,,,,1.8,0.8,,,,,,,,
90,0.1814,-379.812,-79.002,,,,1.2,,,1.438,,,,,2.1,0.8,,,,,,,,
91,0.1893,17.153,-35.719,,,,1.1,,,0.856,,,,,0.6,0.8,,,,,,,,
92,0.5022,-89.579,-75.769,,,,0.96,,,0.711,,,,,1.1,0.8,,,,,,,,
93,0.5747,50.532,-55.357,,,,0.98,,,0.772,,,,,1.6,0.8,,,,,,,,
94,-0.295,12.018,-82.723,,,,1.48,,,1.807,,,,,8.4,0.8,,,,,,,,
95,-0.5764,74.084,-44.273,,,,1.23,,,2.24,,,,,12.6,0.8,,,,,,,,
96,0.8997,62.436,-46.489,,,,2.16,,,3.067,,,,,11.7,0.8,,,,,,,,
97,-0.5345,-61.091,-39.666,,,,1.26,,,2.146,,,,,2.9,0.8,,,,,,,,
98,0.039,20.703,-24.265,,,,1.12,,,2.3,,,,,4.2,0.8,,,,,,,,
99,-0.2406,129.198,-29.135,,,,1.18,,,2.275,,,,,5.7,0.8,,,,,,,,
100,-0.143,-0.285,-1.151,,,,1.35,,,1.725,,,,,5.3,0.8,,,,,,,,
101,-0.3385,129.513,95.92,,,,1.39,,,1.479,,,,,7.2,0.8,,,,,,,,
102,0.5601,188.122,92.242,,,,1.51,,,1.733,,,,,6.5,0.8,,,,,,,,
